participant	trial	trial_withinbloc	trial_file_id	is_idTrack	is_practice	complexity_globalcrowding	complexity_crowding	complexity_innercrowding	complexity_deformation	globalcrowding	crowding	innercrowding	deformation	trial_start	trial_end	task_start	task_end	highlight_start	highlight_end	animation_start	animation_end	answer_start	answer_end	target_0	target_1	target_2	answer_0	answer_1	answer_2	error_0	error_1	error_2	error	normalized_error	noID_hits	noID_accuracy	noID_perfect	ID_hits	ID_accuracy	ID_perfect	ID_wrongID	ID_wrongID_percent	any_ID_wrongID
p01	12	4	41	true	false	M	L	L	H	0.6319	0.4668	3.0950	0.0292	2014-02-14 11:07:47.656	2014-02-14 11:08:05.955	2014-02-14 11:07:49.232	2014-02-14 11:08:05.362	2014-02-14 11:07:49.232	2014-02-14 11:07:54.442	2014-02-14 11:07:56.985	2014-02-14 11:07:58.857	2014-02-14 11:07:58.857	2014-02-14 11:08:05.362	19	23	27	19	23	27	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	13	5	39	true	false	M	L	L	L	0.6745	0.4619	2.1797	0.0105	2014-02-14 11:08:06.251	2014-02-14 11:08:22.288	2014-02-14 11:08:06.751	2014-02-14 11:08:21.493	2014-02-14 11:08:06.751	2014-02-14 11:08:12.772	2014-02-14 11:08:15.221	2014-02-14 11:08:17.093	2014-02-14 11:08:17.093	2014-02-14 11:08:21.493	16	25	29	16	25	29	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	14	6	16	true	false	M	L	L	H	0.6986	0.4630	3.5261	0.0312	2014-02-14 11:08:22.585	2014-02-14 11:08:39.464	2014-02-14 11:08:23.053	2014-02-14 11:08:37.732	2014-02-14 11:08:23.053	2014-02-14 11:08:27.92	2014-02-14 11:08:29.558	2014-02-14 11:08:31.43	2014-02-14 11:08:31.43	2014-02-14 11:08:37.732	3	15	29	15	3	29	0.9420	0.9420	0.0000	0.6280	0.9895	3	1.0000	1	1	0.3333	0	2	0.6667	1
p01	15	7	59	true	false	H	H	H	L	0.7467	0.6388	9.6979	0.0075	2014-02-14 11:08:39.76	2014-02-14 11:08:59.401	2014-02-14 11:08:42.209	2014-02-14 11:08:57.513	2014-02-14 11:08:42.209	2014-02-14 11:08:48.465	2014-02-14 11:08:50.509	2014-02-14 11:08:52.381	2014-02-14 11:08:52.381	2014-02-14 11:08:57.513	6	18	22	6	27	22	0.0000	0.0949	0.0000	0.0316	0.0560	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	16	8	5	true	false	M	H	L	L	0.6855	0.7069	3.2588	0.0096	2014-02-14 11:09:04.471	2014-02-14 11:09:22.754	2014-02-14 11:09:06.53	2014-02-14 11:09:20.258	2014-02-14 11:09:06.53	2014-02-14 11:09:10.664	2014-02-14 11:09:13.659	2014-02-14 11:09:15.531	2014-02-14 11:09:15.531	2014-02-14 11:09:20.258	8	25	29	21	25	29	0.1359	0.0000	0.0000	0.0453	0.0798	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	17	9	30	true	false	M	H	H	H	0.6828	0.6473	9.9993	0.0304	2014-02-14 11:09:23.066	2014-02-14 11:09:42.363	2014-02-14 11:09:25.094	2014-02-14 11:09:39.54	2014-02-14 11:09:25.094	2014-02-14 11:09:30.694	2014-02-14 11:09:31.864	2014-02-14 11:09:33.752	2014-02-14 11:09:33.752	2014-02-14 11:09:39.54	12	13	19	4	13	19	0.2219	0.0000	0.0000	0.0740	0.1157	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	18	10	6	true	false	M	L	H	L	0.7049	0.4192	9.8025	0.0068	2014-02-14 11:09:42.66	2014-02-14 11:09:57.667	2014-02-14 11:09:43.674	2014-02-14 11:09:56.887	2014-02-14 11:09:43.674	2014-02-14 11:09:48.369	2014-02-14 11:09:49.227	2014-02-14 11:09:51.099	2014-02-14 11:09:51.099	2014-02-14 11:09:56.887	11	13	16	11	13	16	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	19	11	4	true	false	M	H	L	L	0.6691	0.6943	3.4324	0.0054	2014-02-14 11:09:57.979	2014-02-14 11:10:32.408	2014-02-14 11:09:59.258	2014-02-14 11:10:31.644	2014-02-14 11:09:59.258	2014-02-14 11:10:06.793	2014-02-14 11:10:24.577	2014-02-14 11:10:26.449	2014-02-14 11:10:26.449	2014-02-14 11:10:31.644	0	12	14	0	12	14	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	20	12	12	true	false	M	H	L	H	0.7049	0.6671	3.0780	0.0328	2014-02-14 11:10:32.704	2014-02-14 11:10:55.98	2014-02-14 11:10:33.812	2014-02-14 11:10:55.044	2014-02-14 11:10:33.812	2014-02-14 11:10:39.865	2014-02-14 11:10:41.331	2014-02-14 11:10:43.203	2014-02-14 11:10:43.203	2014-02-14 11:10:55.044	8	13	24	8	13	21	0.0000	0.0000	0.0868	0.0289	0.0579	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	21	13	14	true	false	M	H	L	L	0.6948	0.6133	2.3658	0.0055	2014-02-14 11:10:56.307	2014-02-14 11:11:17.071	2014-02-14 11:10:57.259	2014-02-14 11:11:15.48	2014-02-14 11:10:57.259	2014-02-14 11:11:01.455	2014-02-14 11:11:03.047	2014-02-14 11:11:04.919	2014-02-14 11:11:04.919	2014-02-14 11:11:15.48	7	17	28	7	20	28	0.0000	0.1534	0.0000	0.0511	0.0926	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	22	14	19	true	false	M	H	L	H	0.7378	0.6165	3.5878	0.0293	2014-02-14 11:11:17.367	2014-02-14 11:11:33.217	2014-02-14 11:11:18.631	2014-02-14 11:11:31.922	2014-02-14 11:11:18.631	2014-02-14 11:11:23.342	2014-02-14 11:11:24.746	2014-02-14 11:11:26.618	2014-02-14 11:11:26.618	2014-02-14 11:11:31.922	1	2	20	1	2	20	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	23	15	49	true	false	M	H	H	L	0.7330	0.6173	11.5345	0.0103	2014-02-14 11:11:33.513	2014-02-14 11:11:49.909	2014-02-14 11:11:34.247	2014-02-14 11:11:49.051	2014-02-14 11:11:34.247	2014-02-14 11:11:39.441	2014-02-14 11:11:41.423	2014-02-14 11:11:43.295	2014-02-14 11:11:43.295	2014-02-14 11:11:49.051	1	9	23	1	9	23	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	24	16	32	true	false	M	L	H	L	0.6401	0.4614	11.7069	0.0028	2014-02-14 11:11:54.09	2014-02-14 11:12:12.966	2014-02-14 11:11:54.823	2014-02-14 11:12:10.704	2014-02-14 11:11:54.823	2014-02-14 11:12:00.72	2014-02-14 11:12:02.732	2014-02-14 11:12:04.604	2014-02-14 11:12:04.604	2014-02-14 11:12:10.704	2	7	15	2	7	14	0.0000	0.0000	0.1004	0.0335	0.0546	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	25	17	2	true	false	L	L	L	H	0.6290	0.4656	3.2106	0.0297	2014-02-14 11:12:13.262	2014-02-14 11:12:30.5	2014-02-14 11:12:14.183	2014-02-14 11:12:28.441	2014-02-14 11:12:14.183	2014-02-14 11:12:18.582	2014-02-14 11:12:20.469	2014-02-14 11:12:22.341	2014-02-14 11:12:22.341	2014-02-14 11:12:28.441	10	16	26	10	16	20	0.0000	0.0000	0.2092	0.0697	0.1229	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	26	18	25	true	false	M	H	L	L	0.7279	0.6104	3.9958	0.0041	2014-02-14 11:12:30.797	2014-02-14 11:12:46.272	2014-02-14 11:12:31.592	2014-02-14 11:12:45.414	2014-02-14 11:12:31.592	2014-02-14 11:12:37.364	2014-02-14 11:12:38.799	2014-02-14 11:12:40.671	2014-02-14 11:12:40.671	2014-02-14 11:12:45.414	7	14	17	7	14	17	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	27	19	18	true	false	L	L	L	H	0.5933	0.4626	3.9098	0.0302	2014-02-14 11:12:46.568	2014-02-14 11:13:08.814	2014-02-14 11:12:47.239	2014-02-14 11:13:05.741	2014-02-14 11:12:47.239	2014-02-14 11:12:52.964	2014-02-14 11:12:54.618	2014-02-14 11:12:56.49	2014-02-14 11:12:56.49	2014-02-14 11:13:05.741	8	10	17	8	17	22	0.0000	0.4629	0.6313	0.3647	0.6102	2	0.6667	0	1	0.3333	0	1	0.3333	1
p01	28	20	47	true	false	L	L	H	H	0.6249	0.4666	10.0622	0.0308	2014-02-14 11:13:09.11	2014-02-14 11:13:28.751	2014-02-14 11:13:09.906	2014-02-14 11:13:25.818	2014-02-14 11:13:09.906	2014-02-14 11:13:15.023	2014-02-14 11:13:17.16	2014-02-14 11:13:19.032	2014-02-14 11:13:19.032	2014-02-14 11:13:25.818	0	10	13	0	10	18	0.0000	0.0000	0.1607	0.0536	0.0795	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	29	21	7	true	false	M	H	L	L	0.7037	0.6243	3.1643	0.0023	2014-02-14 11:13:29.063	2014-02-14 11:13:41.948	2014-02-14 11:13:29.78	2014-02-14 11:13:41.137	2014-02-14 11:13:29.78	2014-02-14 11:13:34.133	2014-02-14 11:13:34.928	2014-02-14 11:13:36.8	2014-02-14 11:13:36.8	2014-02-14 11:13:41.137	0	15	20	0	15	20	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	30	22	53	true	false	M	H	H	L	0.6871	0.6230	10.5160	0.0106	2014-02-14 11:13:42.245	2014-02-14 11:13:58.734	2014-02-14 11:13:43.337	2014-02-14 11:13:56.628	2014-02-14 11:13:43.337	2014-02-14 11:13:48.235	2014-02-14 11:13:49.889	2014-02-14 11:13:51.761	2014-02-14 11:13:51.761	2014-02-14 11:13:56.628	11	14	22	17	14	22	0.1206	0.0000	0.0000	0.0402	0.0714	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	31	23	62	true	false	M	H	H	H	0.7139	0.6208	10.0951	0.0330	2014-02-14 11:13:59.046	2014-02-14 11:14:17.844	2014-02-14 11:14:01.23	2014-02-14 11:14:15.8	2014-02-14 11:14:01.23	2014-02-14 11:14:05.582	2014-02-14 11:14:06.986	2014-02-14 11:14:08.858	2014-02-14 11:14:08.858	2014-02-14 11:14:15.8	7	10	23	7	6	10	0.0000	0.9726	0.8398	0.6041	1.0025	2	0.6667	0	1	0.3333	0	1	0.3333	1
p01	32	24	20	true	false	M	H	L	H	0.7042	0.6102	3.0908	0.0296	2014-02-14 11:14:28.499	2014-02-14 11:14:44.286	2014-02-14 11:14:29.294	2014-02-14 11:14:42.367	2014-02-14 11:14:29.294	2014-02-14 11:14:32.851	2014-02-14 11:14:34.302	2014-02-14 11:14:36.174	2014-02-14 11:14:36.174	2014-02-14 11:14:42.367	3	4	6	28	4	6	0.3920	0.0000	0.0000	0.1307	0.2294	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	33	25	28	true	false	M	L	H	H	0.7029	0.4552	10.5333	0.0310	2014-02-14 11:14:44.583	2014-02-14 11:15:00.417	2014-02-14 11:14:45.035	2014-02-14 11:14:59.621	2014-02-14 11:14:45.035	2014-02-14 11:14:49.918	2014-02-14 11:14:51.493	2014-02-14 11:14:53.365	2014-02-14 11:14:53.365	2014-02-14 11:14:59.621	0	19	26	0	19	26	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	34	26	15	true	false	L	L	H	L	0.5414	0.4653	9.6870	0.0109	2014-02-14 11:15:00.713	2014-02-14 11:15:15.876	2014-02-14 11:15:01.197	2014-02-14 11:15:14.223	2014-02-14 11:15:01.197	2014-02-14 11:15:04.66	2014-02-14 11:15:06.937	2014-02-14 11:15:08.809	2014-02-14 11:15:08.809	2014-02-14 11:15:14.223	4	25	27	6	25	27	0.1765	0.0000	0.0000	0.0588	0.0910	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	35	27	51	true	false	H	H	H	L	0.7543	0.6933	9.7899	0.0098	2014-02-14 11:15:16.173	2014-02-14 11:15:36.921	2014-02-14 11:15:17.483	2014-02-14 11:15:32.459	2014-02-14 11:15:17.483	2014-02-14 11:15:24.191	2014-02-14 11:15:25.657	2014-02-14 11:15:27.529	2014-02-14 11:15:27.529	2014-02-14 11:15:32.459	12	13	17	12	11	24	0.0000	0.8038	0.1578	0.3205	0.5612	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	36	28	46	true	false	L	L	H	H	0.5886	0.4463	10.8683	0.0298	2014-02-14 11:15:37.217	2014-02-14 11:15:58.199	2014-02-14 11:15:39.136	2014-02-14 11:15:56.374	2014-02-14 11:15:39.136	2014-02-14 11:15:47.295	2014-02-14 11:15:49.603	2014-02-14 11:15:51.475	2014-02-14 11:15:51.475	2014-02-14 11:15:56.374	5	13	20	5	8	20	0.0000	0.3712	0.0000	0.1237	0.2304	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	37	29	58	true	false	H	H	H	L	0.7598	0.6469	9.5557	0.0030	2014-02-14 11:15:58.495	2014-02-14 11:16:16.264	2014-02-14 11:15:59.275	2014-02-14 11:16:14.61	2014-02-14 11:15:59.275	2014-02-14 11:16:05.952	2014-02-14 11:16:08.23	2014-02-14 11:16:10.102	2014-02-14 11:16:10.102	2014-02-14 11:16:14.61	11	16	29	11	16	4	0.0000	0.0000	0.7742	0.2581	0.4446	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	38	30	21	true	false	M	L	H	H	0.6320	0.3986	10.9237	0.0299	2014-02-14 11:16:16.56	2014-02-14 11:16:35.561	2014-02-14 11:16:17.434	2014-02-14 11:16:32.691	2014-02-14 11:16:17.434	2014-02-14 11:16:23.409	2014-02-14 11:16:26.076	2014-02-14 11:16:27.948	2014-02-14 11:16:27.948	2014-02-14 11:16:32.691	1	20	27	0	20	27	0.0920	0.0000	0.0000	0.0307	0.0582	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	39	31	8	true	false	M	L	L	L	0.7285	0.4692	3.1112	0.0109	2014-02-14 11:16:35.858	2014-02-14 11:16:56.028	2014-02-14 11:16:40.506	2014-02-14 11:16:55.358	2014-02-14 11:16:40.506	2014-02-14 11:16:46.684	2014-02-14 11:16:49.055	2014-02-14 11:16:50.927	2014-02-14 11:16:50.927	2014-02-14 11:16:55.358	9	20	28	9	20	28	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	40	32	37	true	false	M	L	L	L	0.7126	0.4546	3.6920	0.0074	2014-02-14 11:17:02.565	2014-02-14 11:17:16.73	2014-02-14 11:17:03.719	2014-02-14 11:17:16.012	2014-02-14 11:17:03.719	2014-02-14 11:17:08.025	2014-02-14 11:17:09.99	2014-02-14 11:17:11.862	2014-02-14 11:17:11.862	2014-02-14 11:17:16.012	6	8	21	6	8	21	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	41	33	45	true	false	H	H	H	H	0.7746	0.6200	12.0013	0.0307	2014-02-14 11:17:17.026	2014-02-14 11:17:32.813	2014-02-14 11:17:17.525	2014-02-14 11:17:31.955	2014-02-14 11:17:17.525	2014-02-14 11:17:22.72	2014-02-14 11:17:23.999	2014-02-14 11:17:25.887	2014-02-14 11:17:25.887	2014-02-14 11:17:31.955	10	16	25	0	16	25	0.0816	0.0000	0.0000	0.0272	0.0457	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	42	34	24	true	false	M	H	L	L	0.6628	0.6298	2.7448	0.0085	2014-02-14 11:17:33.125	2014-02-14 11:17:48.725	2014-02-14 11:17:34.638	2014-02-14 11:17:48.148	2014-02-14 11:17:34.638	2014-02-14 11:17:38.726	2014-02-14 11:17:40.098	2014-02-14 11:17:41.97	2014-02-14 11:17:41.97	2014-02-14 11:17:48.148	10	14	27	10	14	27	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	43	35	43	true	false	L	L	H	L	0.5517	0.3906	13.1159	0.0103	2014-02-14 11:17:49.022	2014-02-14 11:18:02.937	2014-02-14 11:17:49.49	2014-02-14 11:18:02.328	2014-02-14 11:17:49.49	2014-02-14 11:17:53.92	2014-02-14 11:17:55.683	2014-02-14 11:17:57.555	2014-02-14 11:17:57.555	2014-02-14 11:18:02.328	8	19	20	8	19	20	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	44	36	38	true	false	M	L	L	H	0.6481	0.4379	2.4351	0.0331	2014-02-14 11:18:03.233	2014-02-14 11:18:18.849	2014-02-14 11:18:03.779	2014-02-14 11:18:17.85	2014-02-14 11:18:03.779	2014-02-14 11:18:08.038	2014-02-14 11:18:09.66	2014-02-14 11:18:11.532	2014-02-14 11:18:11.532	2014-02-14 11:18:17.85	2	14	23	2	23	14	0.0000	0.5347	0.5347	0.3565	0.6326	3	1.0000	1	1	0.3333	0	2	0.6667	1
p01	45	37	3	true	false	M	L	L	L	0.6309	0.4672	3.2431	0.0096	2014-02-14 11:18:19.161	2014-02-14 11:18:33.061	2014-02-14 11:18:20.939	2014-02-14 11:18:32.39	2014-02-14 11:18:20.939	2014-02-14 11:18:25.167	2014-02-14 11:18:26.228	2014-02-14 11:18:28.1	2014-02-14 11:18:28.1	2014-02-14 11:18:32.39	0	4	20	0	4	20	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	46	38	57	true	false	H	H	H	H	0.7448	0.6610	11.2924	0.0400	2014-02-14 11:18:33.357	2014-02-14 11:18:54.979	2014-02-14 11:18:33.841	2014-02-14 11:18:53.606	2014-02-14 11:18:33.841	2014-02-14 11:18:39.55	2014-02-14 11:18:41.329	2014-02-14 11:18:43.201	2014-02-14 11:18:43.201	2014-02-14 11:18:53.606	22	24	27	29	24	27	0.3684	0.0000	0.0000	0.1228	0.2962	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	47	39	40	true	false	M	L	H	L	0.6730	0.4693	9.8144	0.0109	2014-02-14 11:18:55.275	2014-02-14 11:19:12.669	2014-02-14 11:18:56.788	2014-02-14 11:19:11.92	2014-02-14 11:18:56.788	2014-02-14 11:19:03.543	2014-02-14 11:19:05.259	2014-02-14 11:19:07.131	2014-02-14 11:19:07.131	2014-02-14 11:19:11.92	12	14	19	12	14	19	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	48	40	27	true	false	L	L	L	H	0.5874	0.4638	3.7699	0.0305	2014-02-14 11:19:27.224	2014-02-14 11:19:41.669	2014-02-14 11:19:29.564	2014-02-14 11:19:41.092	2014-02-14 11:19:29.564	2014-02-14 11:19:33.105	2014-02-14 11:19:34.291	2014-02-14 11:19:36.163	2014-02-14 11:19:36.163	2014-02-14 11:19:41.092	15	18	24	15	18	24	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	49	41	52	true	false	H	H	H	L	0.7662	0.6562	11.0800	0.0109	2014-02-14 11:19:41.966	2014-02-14 11:19:59.032	2014-02-14 11:19:42.574	2014-02-14 11:19:57.644	2014-02-14 11:19:42.574	2014-02-14 11:19:49.267	2014-02-14 11:19:51.295	2014-02-14 11:19:53.167	2014-02-14 11:19:53.167	2014-02-14 11:19:57.644	0	6	22	10	3	22	0.9100	0.1342	0.0000	0.3481	0.5758	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	50	42	29	true	false	M	H	L	H	0.6878	0.6305	3.7569	0.0290	2014-02-14 11:19:59.329	2014-02-14 11:20:16.769	2014-02-14 11:20:00.124	2014-02-14 11:20:16.66	2014-02-14 11:20:00.124	2014-02-14 11:20:05.818	2014-02-14 11:20:07.051	2014-02-14 11:20:08.923	2014-02-14 11:20:08.923	2014-02-14 11:20:16.66	2	9	13	2	13	9	0.0000	0.1414	0.1414	0.0943	0.2261	3	1.0000	1	1	0.3333	0	2	0.6667	1
p01	51	43	50	true	false	M	H	H	H	0.6327	0.6156	9.6878	0.0292	2014-02-14 11:20:17.066	2014-02-14 11:20:38.485	2014-02-14 11:20:21.013	2014-02-14 11:20:37.861	2014-02-14 11:20:21.013	2014-02-14 11:20:29.437	2014-02-14 11:20:31.387	2014-02-14 11:20:33.259	2014-02-14 11:20:33.259	2014-02-14 11:20:37.861	5	19	24	5	19	24	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
